Animal,Height (cm),Weight (kg),Lifespan (years),Diet,Habitat,Average Speed (km/h),Conservation Status,Gestation Period (days),Social Structure,Offspring per Birth,Main Region,Africa,Asia,Europe,Americas,Oceania,Arctic,At_Risk,Country,1901-07,1902-07,1903-07,1904-07,1905-07,1906-07,1907-07,1908-07,1909-07,1910-07,1911-07,1912-07,1913-07,1914-07,1915-07,1916-07,1917-07,1918-07,1919-07,1920-07,1921-07,1922-07,1923-07,1924-07,1925-07,1926-07,1927-07,1928-07,1929-07,1930-07,1931-07,1932-07,1933-07,1934-07,1935-07,1936-07,1937-07,1938-07,1939-07,1940-07,1941-07,1942-07,1943-07,1944-07,1945-07,1946-07,1947-07,1948-07,1949-07,1950-07,1951-07,1952-07,1953-07,1954-07,1955-07,1956-07,1957-07,1958-07,1959-07,1960-07,1961-07,1962-07,1963-07,1964-07,1965-07,1966-07,1967-07,1968-07,1969-07,1970-07,1971-07,1972-07,1973-07,1974-07,1975-07,1976-07,1977-07,1978-07,1979-07,1980-07,1981-07,1982-07,1983-07,1984-07,1985-07,1986-07,1987-07,1988-07,1989-07,1990-07,1991-07,1992-07,1993-07,1994-07,1995-07,1996-07,1997-07,1998-07,1999-07,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,Region,temp_change,avg_temp_recent,at_risk,Habitat Category,Social Encoded
Aardvark,117.5,52.5,25.0,Insectivore,"Savannas, Grasslands",40.0,Least Concern,225.0,Solitary,1.0,Africa,1,0,0,0,0,0,False,Angola,21.32,21.36,21.37,21.28,21.32,21.2,21.22,21.29,21.31,21.35,21.41,21.36,21.37,21.29,21.3,21.28,21.33,21.17,21.22,21.32,21.32,21.42,21.31,21.38,21.22,21.28,21.28,21.47,21.32,21.31,21.47,21.26,21.43,21.52,21.36,21.24,21.32,21.37,21.42,21.64,21.8,21.81,21.54,21.73,21.5,21.38,21.53,21.25,21.83,21.5,21.41,21.6,21.29,21.22,21.25,21.17,21.53,21.37,21.47,21.48,21.19,21.2,21.23,21.2,21.25,21.45,21.2,21.29,21.47,21.51,21.34,21.33,21.57,21.13,21.3,21.06,21.53,21.32,21.56,21.5,21.4,21.44,21.78,21.7,21.63,21.49,21.97,21.73,21.55,21.73,21.55,21.69,21.58,21.65,21.93,21.71,21.84,22.09,21.59,21.67,21.84,21.93,22.01,21.78,22.14,21.58,21.56,21.53,21.72,21.87,21.49,21.53,21.56,21.56,21.69,21.94,21.84,21.66,21.76,21.72,21.73,21.62,21.51,Africa,0.19000000000000128,21.703,False,Grasslands,8
Aardwolf,45.0,11.0,11.0,Insectivore,"Grasslands, Savannas",27.0,Least Concern,90.0,Solitary,3.5,Africa,1,0,0,0,0,0,False,Angola,21.32,21.36,21.37,21.28,21.32,21.2,21.22,21.29,21.31,21.35,21.41,21.36,21.37,21.29,21.3,21.28,21.33,21.17,21.22,21.32,21.32,21.42,21.31,21.38,21.22,21.28,21.28,21.47,21.32,21.31,21.47,21.26,21.43,21.52,21.36,21.24,21.32,21.37,21.42,21.64,21.8,21.81,21.54,21.73,21.5,21.38,21.53,21.25,21.83,21.5,21.41,21.6,21.29,21.22,21.25,21.17,21.53,21.37,21.47,21.48,21.19,21.2,21.23,21.2,21.25,21.45,21.2,21.29,21.47,21.51,21.34,21.33,21.57,21.13,21.3,21.06,21.53,21.32,21.56,21.5,21.4,21.44,21.78,21.7,21.63,21.49,21.97,21.73,21.55,21.73,21.55,21.69,21.58,21.65,21.93,21.71,21.84,22.09,21.59,21.67,21.84,21.93,22.01,21.78,22.14,21.58,21.56,21.53,21.72,21.87,21.49,21.53,21.56,21.56,21.69,21.94,21.84,21.66,21.76,21.72,21.73,21.62,21.51,Africa,0.19000000000000128,21.703,False,Grasslands,8
African Elephant,290.0,4350.0,65.0,Herbivore,"Savannah, Forest",25.0,Vulnerable,650.0,Herd-based,1.0,Africa,1,0,0,0,0,0,True,Angola,21.32,21.36,21.37,21.28,21.32,21.2,21.22,21.29,21.31,21.35,21.41,21.36,21.37,21.29,21.3,21.28,21.33,21.17,21.22,21.32,21.32,21.42,21.31,21.38,21.22,21.28,21.28,21.47,21.32,21.31,21.47,21.26,21.43,21.52,21.36,21.24,21.32,21.37,21.42,21.64,21.8,21.81,21.54,21.73,21.5,21.38,21.53,21.25,21.83,21.5,21.41,21.6,21.29,21.22,21.25,21.17,21.53,21.37,21.47,21.48,21.19,21.2,21.23,21.2,21.25,21.45,21.2,21.29,21.47,21.51,21.34,21.33,21.57,21.13,21.3,21.06,21.53,21.32,21.56,21.5,21.4,21.44,21.78,21.7,21.63,21.49,21.97,21.73,21.55,21.73,21.55,21.69,21.58,21.65,21.93,21.71,21.84,22.09,21.59,21.67,21.84,21.93,22.01,21.78,22.14,21.58,21.56,21.53,21.72,21.87,21.49,21.53,21.56,21.56,21.69,21.94,21.84,21.66,21.76,21.72,21.73,21.62,21.51,Africa,0.19000000000000128,21.703,False,Grasslands,4
African Lion,95.0,185.0,12.0,Carnivore,"Grasslands, Savannas",58.0,Vulnerable,101.5,Group-based,3.0,Africa,1,0,0,0,0,0,True,Angola,21.32,21.36,21.37,21.28,21.32,21.2,21.22,21.29,21.31,21.35,21.41,21.36,21.37,21.29,21.3,21.28,21.33,21.17,21.22,21.32,21.32,21.42,21.31,21.38,21.22,21.28,21.28,21.47,21.32,21.31,21.47,21.26,21.43,21.52,21.36,21.24,21.32,21.37,21.42,21.64,21.8,21.81,21.54,21.73,21.5,21.38,21.53,21.25,21.83,21.5,21.41,21.6,21.29,21.22,21.25,21.17,21.53,21.37,21.47,21.48,21.19,21.2,21.23,21.2,21.25,21.45,21.2,21.29,21.47,21.51,21.34,21.33,21.57,21.13,21.3,21.06,21.53,21.32,21.56,21.5,21.4,21.44,21.78,21.7,21.63,21.49,21.97,21.73,21.55,21.73,21.55,21.69,21.58,21.65,21.93,21.71,21.84,22.09,21.59,21.67,21.84,21.93,22.01,21.78,22.14,21.58,21.56,21.53,21.72,21.87,21.49,21.53,21.56,21.56,21.69,21.94,21.84,21.66,21.76,21.72,21.73,21.62,21.51,Africa,0.19000000000000128,21.703,False,Grasslands,3
African Wild Dog,77.5,27.0,11.0,Carnivore,Savannahs,56.0,Endangered,70.0,Group-based,11.0,Africa,1,0,0,0,0,0,True,Angola,21.32,21.36,21.37,21.28,21.32,21.2,21.22,21.29,21.31,21.35,21.41,21.36,21.37,21.29,21.3,21.28,21.33,21.17,21.22,21.32,21.32,21.42,21.31,21.38,21.22,21.28,21.28,21.47,21.32,21.31,21.47,21.26,21.43,21.52,21.36,21.24,21.32,21.37,21.42,21.64,21.8,21.81,21.54,21.73,21.5,21.38,21.53,21.25,21.83,21.5,21.41,21.6,21.29,21.22,21.25,21.17,21.53,21.37,21.47,21.48,21.19,21.2,21.23,21.2,21.25,21.45,21.2,21.29,21.47,21.51,21.34,21.33,21.57,21.13,21.3,21.06,21.53,21.32,21.56,21.5,21.4,21.44,21.78,21.7,21.63,21.49,21.97,21.73,21.55,21.73,21.55,21.69,21.58,21.65,21.93,21.71,21.84,22.09,21.59,21.67,21.84,21.93,22.01,21.78,22.14,21.58,21.56,21.53,21.72,21.87,21.49,21.53,21.56,21.56,21.69,21.94,21.84,21.66,21.76,21.72,21.73,21.62,21.51,Africa,0.19000000000000128,21.703,True,Grasslands,3
Alpine Ibex,84.0,69.5,17.5,Herbivore,"Mountains, Alpine",60.0,Least Concern,150.0,Group-based,1.0,Europe,0,0,1,0,0,0,False,Albania,11.36,11.14,11.64,11.56,11.41,11.45,11.21,11.06,11.31,11.72,11.75,11.14,11.29,10.97,11.65,12.22,11.46,11.5,11.43,11.71,11.68,11.37,12.25,11.35,11.72,12.27,12.49,11.92,11.15,12.27,11.58,11.49,10.82,12.43,11.71,11.98,12.11,11.73,11.82,10.54,11.04,11.38,12.11,11.44,11.99,12.38,12.36,11.84,11.79,12.61,12.49,12.47,11.41,11.18,11.78,10.95,11.91,12.11,11.37,12.13,12.21,11.84,11.9,11.41,11.3,12.07,11.72,11.76,11.47,11.6,11.45,11.46,11.39,11.51,11.54,11.01,11.85,10.99,11.84,10.87,11.58,11.84,11.55,11.29,11.59,11.78,11.48,11.91,11.64,12.17,11.16,11.84,11.79,12.81,11.66,11.31,11.6,12.18,12.51,12.85,12.44,12.66,12.4,12.09,11.68,12.11,12.9,12.91,12.77,12.6,12.41,12.96,12.97,13.12,13.0,12.9,12.81,13.49,13.47,13.17,12.84,13.44,13.86,Europe,2.5,13.209999999999999,False,Mountains,3
Amazon Rainforest Frog,7.5,,10.5,Insectivore,Amazon Rainforest,0.55,Not Evaluated,12.5,Solitary,,Americas,0,0,0,1,0,0,False,Aruba (Neth.),28.22,27.79,27.89,27.62,27.68,27.58,27.56,27.46,27.52,27.52,27.59,27.65,27.48,27.56,28.35,28.1,27.8,27.82,27.63,27.5,27.65,27.52,27.94,28.09,27.82,28.35,27.84,28.0,27.82,27.98,28.31,28.51,28.37,28.49,28.18,28.41,28.34,28.04,28.29,28.84,29.02,28.74,28.2,28.12,27.94,28.07,28.65,28.28,28.03,27.57,28.24,28.5,28.38,27.88,27.81,27.77,28.3,28.97,28.48,28.67,28.37,28.33,28.46,28.35,28.25,28.51,28.12,28.28,28.83,28.47,28.03,28.62,28.71,28.1,28.11,28.05,28.66,28.76,28.65,29.17,28.79,28.66,29.16,28.38,28.25,28.31,29.0,28.47,28.15,28.07,28.66,28.94,28.95,29.02,29.23,28.89,29.19,29.54,28.85,28.7,29.11,29.1,29.25,28.88,28.95,28.89,28.91,28.56,28.89,29.17,28.57,29.14,29.39,29.46,29.68,29.71,29.27,28.95,29.33,29.34,29.04,28.81,29.39,Americas,1.1700000000000017,29.297999999999995,False,Forests,8
American Bison,169.0,,17.5,Herbivore,"Grasslands, Plains",48.0,Near Threatened,280.0,Group-based,1.0,Americas,0,0,0,1,0,0,False,Aruba (Neth.),28.22,27.79,27.89,27.62,27.68,27.58,27.56,27.46,27.52,27.52,27.59,27.65,27.48,27.56,28.35,28.1,27.8,27.82,27.63,27.5,27.65,27.52,27.94,28.09,27.82,28.35,27.84,28.0,27.82,27.98,28.31,28.51,28.37,28.49,28.18,28.41,28.34,28.04,28.29,28.84,29.02,28.74,28.2,28.12,27.94,28.07,28.65,28.28,28.03,27.57,28.24,28.5,28.38,27.88,27.81,27.77,28.3,28.97,28.48,28.67,28.37,28.33,28.46,28.35,28.25,28.51,28.12,28.28,28.83,28.47,28.03,28.62,28.71,28.1,28.11,28.05,28.66,28.76,28.65,29.17,28.79,28.66,29.16,28.38,28.25,28.31,29.0,28.47,28.15,28.07,28.66,28.94,28.95,29.02,29.23,28.89,29.19,29.54,28.85,28.7,29.11,29.1,29.25,28.88,28.95,28.89,28.91,28.56,28.89,29.17,28.57,29.14,29.39,29.46,29.68,29.71,29.27,28.95,29.33,29.34,29.04,28.81,29.39,Americas,1.1700000000000017,29.297999999999995,False,Grasslands,3
Anteater,71.5,31.5,17.5,Insectivore,"Grasslands, Forests",24.0,Least Concern,200.0,Solitary,1.0,Americas,0,0,0,1,0,0,False,Aruba (Neth.),28.22,27.79,27.89,27.62,27.68,27.58,27.56,27.46,27.52,27.52,27.59,27.65,27.48,27.56,28.35,28.1,27.8,27.82,27.63,27.5,27.65,27.52,27.94,28.09,27.82,28.35,27.84,28.0,27.82,27.98,28.31,28.51,28.37,28.49,28.18,28.41,28.34,28.04,28.29,28.84,29.02,28.74,28.2,28.12,27.94,28.07,28.65,28.28,28.03,27.57,28.24,28.5,28.38,27.88,27.81,27.77,28.3,28.97,28.48,28.67,28.37,28.33,28.46,28.35,28.25,28.51,28.12,28.28,28.83,28.47,28.03,28.62,28.71,28.1,28.11,28.05,28.66,28.76,28.65,29.17,28.79,28.66,29.16,28.38,28.25,28.31,29.0,28.47,28.15,28.07,28.66,28.94,28.95,29.02,29.23,28.89,29.19,29.54,28.85,28.7,29.11,29.1,29.25,28.88,28.95,28.89,28.91,28.56,28.89,29.17,28.57,29.14,29.39,29.46,29.68,29.71,29.27,28.95,29.33,29.34,29.04,28.81,29.39,Americas,1.1700000000000017,29.297999999999995,False,Grasslands,8
Arabian Horse,150.0,690.0,27.5,Herbivore,"Middle East, North Africa",65.0,Not Applicable,336.0,Herd-based,1.0,"Africa, Asia",1,1,0,0,0,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,Other,4
